Change Component Footprint: Designator=J10 Old Footprint=rosenberger-19S141-40ML5 New Footprint=rosenberger-19S201-40ML5
Change Component Comment : Designator=J10 Old Comment=SMP-straight-19S10H-40ML5 New Comment=SMP-right-angle-19S201-40ML5
Change component parameters: Designator = "J10" ("J10"); Footprint = "rosenberger-19S141-40ML5"; UniqueID = "\RBADLIIZ" ("\RBADLIIZ")
Change component parameters (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/853050232/Molex/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "853050232"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/853050232/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/853050232/Molex/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "476-19S201-40ML5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
